X3_ARQUIVO;X3_ORDEM;X3_CAMPO;X3_TIPO;X3_TAMANHO;X3_DECIMAL;X3_TITULO;X3_TITSPA;X3_TITENG;X3_DESCRIC;X3_DESCSPA;X3_DESCENG;X3_PICTURE;X3_VALID;X3_USADO;X3_RELACAO;X3_F3;X3_NIVEL;X3_RESERV;X3_CHECK;X3_TRIGGER;X3_PROPRI;X3_BROWSE;X3_VISUAL;X3_CONTEXT;X3_OBRIGAT;X3_VLDUSER;X3_CBOX;X3_CBOXSPA;X3_CBOXENG;X3_PICTVAR;X3_WHEN;X3_INIBRW;X3_GRPSXG;X3_FOLDER;X3_PYME;X3_CONDSQL;X3_CHKSQL;X3_IDXSRV;X3_ORTOGRA;X3_IDXFLD;X3_TELA;X3_PICBRV;X3_AGRUP;X3_POSLGT;X3_MODAL
ZZH;01;ZZH_FILIAL;C;8;0;Filial      ;Sucursal    ;Branch      ;Filial do Sistema        ;Sucursal                 ;Branch of the System     ;@!                                           ;                                                                                                                                                                ;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x       ;                                                                                                                                                                ;      ;1;XXXXXX X        ; ; ;U;N; ; ;        ;                                                                                                                                                                ;                                                                                                                                ;                                                                                                                                ;                                                                                                                                ;                                                  ;                                                                                                    ;                                                                                                    ;033; ; ;                                                                                                                                                                                                                                                          ;                                                                                                                                                                                                                                                          ; ; ; ;               ;                                                  ;   ; ; 
ZZH;02;ZZH_CODTAR;C;10;0;Cod Tarefa  ;Cod tarea   ;Code Task   ; Codigo Tarefa           ;Codigo de tarea          ;Task Code                ;                                             ;                                                                                                                                                                ;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x       ;                                                                                                                                                                ;      ;0;xxxxxx x        ; ; ;U;N;V;R;        ;                                                                                                                                                                ;                                                                                                                                ;                                                                                                                                ;                                                                                                                                ;                                                  ;                                                                                                    ;                                                                                                    ;   ; ; ;                                                                                                                                                                                                                                                          ;                                                                                                                                                                                                                                                          ; ;N;N;               ;                                                  ;   ;1;1
ZZH;03;ZZH_CODIGO;C;6;0;Codigo      ;Codigo      ;Subtask code;Codigo da Subtarefa      ;Codigo                   ;Subtask code             ;                                             ;                                                                                                                                                                ;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x     ;                                                                                                                                                                ;      ;1;xxxxxx x        ; ; ;U;S;V;R;x       ;                                                                                                                                                                ;                                                                                                                                ;                                                                                                                                ;                                                                                                                                ;                                                  ;                                                                                                    ;                                                                                                    ;   ; ; ;                                                                                                                                                                                                                                                          ;                                                                                                                                                                                                                                                          ; ;N;N;               ;                                                  ;   ;1;1
ZZH;04;ZZH_DESCRI;C;50;0;Descricao   ;Descripcion ;Description ;Descricao da Subtarefa   ;Descripcion la subtarea  ;Subtask description      ;                                             ;                                                                                                                                                                ;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x     ;                                                                                                                                                                ;      ;0;xxxxxx x        ; ; ;U;S;A;R;        ;                                                                                                                                                                ;                                                                                                                                ;                                                                                                                                ;                                                                                                                                ;                                                  ;                                                                                                    ;                                                                                                    ;   ; ; ;                                                                                                                                                                                                                                                          ;                                                                                                                                                                                                                                                          ; ;N;N;               ;                                                  ;   ;1;1
ZZH;05;ZZH_RESPON;C;50;0;Responsavel ;Responsable ;Responsible ;Responsavel da Tarefa    ;Responsable              ;Responsible              ;                                             ;                                                                                                                                                                ;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x     ;                                                                                                                                                                ;      ;0;xxxxxx x        ; ; ;U;S;A;R;x       ;                                                                                                                                                                ;                                                                                                                                ;                                                                                                                                ;                                                                                                                                ;                                                  ;                                                                                                    ;                                                                                                    ;   ; ; ;                                                                                                                                                                                                                                                          ;                                                                                                                                                                                                                                                          ; ;N;N;               ;                                                  ;   ;1;1
ZZH;06;ZZH_STATUS;C;1;0;Status      ;Status      ;Status      ;subtask status           ;estado de la subtarea    ;subtask status           ;@!                                           ;                                                                                                                                                                ;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x     ;                                                                                                                                                                ;      ;0;xxxxxx x        ; ; ;U;S;A;R;x       ;Pertence(1234)                                                                                                                                                ;1=Pendente;2=Andamento;3=Concluida;4=Cancelada                                                                                  ;                                                                                                                                ;                                                                                                                                ;                                                  ;                                                                                                    ;                                                                                                    ;   ; ; ;                                                                                                                                                                                                                                                          ;                                                                                                                                                                                                                                                          ; ;N;N;               ;                                                  ;   ;1;1
ZZH;07;ZZH_DTCONC;D;8;0;Dt Conclusao;D conclusion;D conclusion;Data de conclusao        ;Fecha de conclusion      ;conclusion date          ;                                             ;                                                                                                                                                                ;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x     ;                                                                                                                                                                ;      ;0;xxxxxx x        ; ; ;U;S;A;R;        ;                                                                                                                                                                ;                                                                                                                                ;                                                                                                                                ;                                                                                                                                ;                                                  ;                                                                                                    ;                                                                                                    ;   ; ; ;                                                                                                                                                                                                                                                          ;                                                                                                                                                                                                                                                          ; ;N;N;               ;                                                  ;   ;1;1
