X3_ARQUIVO;X3_ORDEM;X3_CAMPO;X3_TIPO;X3_TAMANHO;X3_DECIMAL;X3_TITULO;X3_TITSPA;X3_TITENG;X3_DESCRIC;X3_DESCSPA;X3_DESCENG;X3_PICTURE;X3_VALID;X3_USADO;X3_RELACAO;X3_F3;X3_NIVEL;X3_RESERV;X3_CHECK;X3_TRIGGER;X3_PROPRI;X3_BROWSE;X3_VISUAL;X3_CONTEXT;X3_OBRIGAT;X3_VLDUSER;X3_CBOX;X3_CBOXSPA;X3_CBOXENG;X3_PICTVAR;X3_WHEN;X3_INIBRW;X3_GRPSXG;X3_FOLDER;X3_PYME;X3_CONDSQL;X3_CHKSQL;X3_IDXSRV;X3_ORTOGRA;X3_IDXFLD;X3_TELA;X3_PICBRV;X3_AGRUP;X3_POSLGT;X3_MODAL
ZZG;01;ZZG_FILIAL;C;8;0;Filial      ;Sucursal    ;Branch      ;Filial do Sistema        ;Sucursal                 ;Branch of the System     ;@!                                           ;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x       ;                                                                                                                                                                ;      ;1;XXXXXX X        ; ; ;U;N; ; ;        ;                                                                                                                                                                ;                                                                                                                                ;                                                                                                                                ;                                                                                                                                ;                                                  ;                                                                                                    ;                                                                                                    ;033; ; ;                                                                                                                                                                                                                                                          ;                                                                                                                                                                                                                                                          ; ; ; ;               ;                                                  ;   ; ; 
ZZG;02;ZZG_CODIGO;C;10;0;Codigo      ;Codigo      ;Code        ;Codigo                   ;Codigo                   ;Code                     ;                                             ;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x     ;GETSXENUM('ZZG','ZZG_CODIGO')                                                                                                                                   ;      ;0;xxxxxx x        ; ; ;U;S;V;R;        ;                                                                                                                                                                ;                                                                                                                                ;                                                                                                                                ;                                                                                                                                ;                                                  ;                                                                                                    ;                                                                                                    ;   ; ; ;                                                                                                                                                                                                                                                          ;                                                                                                                                                                                                                                                          ; ;N;N;               ;                                                  ;   ;1;1
ZZG;03;ZZG_TITULO;C;50;0;Titulo      ;Titulo      ;Title       ;Titulo da tarefa         ;Titulo de la tarea       ;Task title               ;                                             ;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x     ;                                                                                                                                                                ;      ;0;xxxxxx x        ; ; ;U;S;A;R;x       ;                                                                                                                                                                ;                                                                                                                                ;                                                                                                                                ;                                                                                                                                ;                                                  ;                                                                                                    ;                                                                                                    ;   ; ; ;                                                                                                                                                                                                                                                          ;                                                                                                                                                                                                                                                          ; ;N;N;               ;                                                  ;   ;1;1
ZZG;04;ZZG_DESCRI;M;10;0;Descricao   ;Descripcion ;Description ;Descricao da Tarefa      ;Descripcion de la tarea  ;Task Description         ;                                             ;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x     ;                                                                                                                                                                ;      ;0;xxxxxx x        ; ; ;U;N;A;R;x       ;                                                                                                                                                                ;                                                                                                                                ;                                                                                                                                ;                                                                                                                                ;                                                  ;                                                                                                    ;                                                                                                    ;   ; ; ;                                                                                                                                                                                                                                                          ;                                                                                                                                                                                                                                                          ; ;N;N;               ;                                                  ;   ;1;1
ZZG;05;ZZG_SITUAC;C;1;0;Situacao    ;Situacion   ;Situation   ;Situacao da Tarefa       ;Estado de la tarea       ;Task Status              ;@!                                           ;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x     ;                                                                                                                                                                ;      ;0;xxxxxx x        ; ; ;U;S;A;R;        ;Pertence(1234)                                                                                                                                                ;1=Pendente;2=Andamento;3=Concluida;4=Cancelada                                                                                  ;                                                                                                                                ;                                                                                                                                ;                                                  ;                                                                                                    ;                                                                                                    ;   ; ; ;                                                                                                                                                                                                                                                          ;                                                                                                                                                                                                                                                          ; ;N;N;               ;                                                  ;   ;1;1
ZZG;06;ZZG_USUINC;C;15;0;Usuario Inc ;Usuario Inc ;User        ;Usuario de Inclusao      ;Usuario de inclusion     ;Inclusion User           ;@!                                           ;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x     ;USRRETNAME(__CUSERID)                                                                                                                                           ;      ;0;xxxxxx x        ; ; ;U;N;V;R;        ;                                                                                                                                                                ;                                                                                                                                ;                                                                                                                                ;                                                                                                                                ;                                                  ;                                                                                                    ;                                                                                                    ;   ; ; ;                                                                                                                                                                                                                                                          ;                                                                                                                                                                                                                                                          ; ;N;N;               ;                                                  ;   ;1;1
ZZG;07;ZZG_DTINC ;D;8;0;Dt. Inclusao;Dt inclusion;Dt inclusion;Date de Inclusao         ;Fecha de inclusion       ;Inclusion Date           ;                                             ; x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x     ;DDATABASE                                                                                                                                                       ;      ;0;xxxxxx x        ; ; ;U;S;V;R;        ;                                                                                                                                                                ;                                                                                                                                ;                                                                                                                                ;                                                                                                                                ;                                                  ;                                                                                                    ;                                                                                                    ;   ; ; ;                                                                                                                                                                                                                                                          ;                                                                                                                                                                                                                                                          ; ;N;N;               ;                                                  ;   ;1;1
ZZG;08;ZZG_DTCONC;D;8;0;Dt Conclusao;D conclusion;D conclusion;Data de conclusao        ;Fecha de conclusion      ;conclusion date          ;                                             ;;x       x       x       x       x       x       x       x       x       x       x       x       x       x       x x     ;                                                                                                                                                                ;      ;0;xxxxxx x        ; ; ;U;S;A;R;        ;VldTaskDate()                                                                                                                                                   ;                                                                                                                                ;                                                                                                                                ;                                                                                                                                ;                                                  ;                                                                                                    ;                                                                                                    ;   ; ; ;                                                                                                                                                                                                                                                          ;                                                                                                                                                                                                                                                          ; ;N;N;               ;                                                  ;   ;1;1
