X2_CHAVE;X2_PATH;X2_ARQUIVO;X2_NOME;X2_NOMESPA;X2_NOMEENG;X2_ROTINA;X2_MODO;X2_MODOUN;X2_MODOEMP;X2_DELET;X2_TTS;X2_UNICO;X2_PYME;X2_MODULO;X2_DISPLAY;X2_SYSOBJ;X2_USROBJ;X2_POSLGT;X2_CLOB;X2_AUTREC;X2_TAMFIL;X2_TAMUN;X2_TAMEMP
ZZG;;ZZGT10;Tarefas;Tarefas;Tasks;TASKSMANEGER                            ;C;C;C;0;;;;77;ZZG_FILIAL+ZZG_CODIGO;;;1;2;1;3;3;2
ZZH;;ZZHT10;SubTarefas;SubTarefas;SubTasks;;C;C;E;0;;;;77;ZZH_FILIAL+ZZH_CODIGO;;;1;2;;3;3;2
